anio,cat_inac,cat_ocup,ch03,ch04,ch06,ch07,ch08,ch12,ch13,ch14,codusu,estado,ipcf,itf,miembros_hogar,nivel_ed,nro_hogar,pondera,pp03d,pp04a,pp04c,pp10a,pp3e_tot,pp3e_tot_missing,pp3f_tot,pp3f_tot_missing,lp_pc,pobre
2005,3.0,0.0,3.0,2.0,8.0,5.0,12.0,3.0,2.0,3.0,127885,4.0,730.0,3650.0,5.0,1.0,1.0,523.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,1.0,1.0,1.0,39.0,2.0,4.0,7.0,1.0,,127986,1.0,1025.0,4100.0,4.0,6.0,1.0,491.0,0.0,2.0,6.0,0.0,60.0,0,0.0,0,205.07,0
2005,0.0,3.0,2.0,2.0,37.0,2.0,1.0,7.0,1.0,,127986,1.0,1025.0,4100.0,4.0,6.0,1.0,491.0,0.0,1.0,10.0,0.0,35.0,0,0.0,0,205.07,0
2005,5.0,0.0,3.0,1.0,5.0,5.0,1.0,1.0,2.0,0.0,127986,4.0,1025.0,4100.0,4.0,7.0,1.0,491.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,5.0,0.0,3.0,2.0,2.0,5.0,1.0,1.0,2.0,0.0,127986,4.0,1025.0,4100.0,4.0,7.0,1.0,491.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,44.0,3.0,4.0,4.0,1.0,,128180,1.0,400.0,800.0,2.0,4.0,1.0,260.0,0.0,2.0,4.0,0.0,71.0,0,0.0,0,205.07,0
2005,3.0,0.0,3.0,1.0,17.0,5.0,4.0,5.0,2.0,1.0,128180,3.0,400.0,800.0,2.0,3.0,1.0,260.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,32.0,2.0,1.0,7.0,1.0,,128348,1.0,1333.3333333333333,4000.0,3.0,6.0,1.0,370.0,2.0,2.0,99.0,0.0,40.0,0,6.0,0,205.07,0
2005,0.0,3.0,2.0,2.0,32.0,2.0,1.0,7.0,1.0,,128348,1.0,1333.3333333333333,4000.0,3.0,6.0,1.0,370.0,0.0,2.0,99.0,0.0,0.0,0,0.0,0,205.07,0
2005,5.0,0.0,3.0,2.0,0.0,5.0,1.0,,,,128348,4.0,1333.3333333333333,4000.0,3.0,7.0,1.0,370.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,2.0,0.0,1.0,1.0,60.0,2.0,12.0,7.0,1.0,,128594,3.0,710.0,2130.0,3.0,6.0,1.0,297.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,1.0,0.0,2.0,2.0,65.0,2.0,12.0,4.0,1.0,,128594,3.0,710.0,2130.0,3.0,4.0,1.0,297.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
