pais,sexo,edad,satisfaccion_vida,situacion_pais,economia_actual,economia_vs12m,economia_12m_futuro,confianza_interpersonal,preferencia_democracia,satisfaccion_democracia,satisfaccion_economia,aprueba_presidente,ideologia_izq_der,justicia_distributiva,nivel_democratico_pais,elecciones_limpias,inmigrantes_ayudan_economia,inmigrantes_compiten_trabajo,inmigrantes_aumentan_crimen,mercado_unico_desarrollo,justicia_no_dura_con_delito,impacto_inmigracion_pais,existe_cambio_climatico,me_importa_medioambiente,obligacion_proteger_medioambiente,importa_impacto_otros,proteger_para_futuras_gen,dispuesto_ahorrar_electricidad,dispuesto_cambiar_alimentacion,derecho_plantas_animales,delincuencia_ult12m,drogadiccion_ult12m,corrupcion_ult12m,corrupcion_0a10,clase_social,suficiencia_ingresos,raza_etnia,educacion_anios,situacion_ocupacional
32.0,Mujer,42.0,Poco satisfecho/a,En retroceso,Muy mala,Mucho peor,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Nada satisfecho/a,2.0,0.0,Muy injusta,10.0,Fraudulentas,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Beneficia,No,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Media baja,Nada suficiente,Asiático/a,4.0,Asalariado sector privado
32.0,Mujer,68.0,Muy satisfecho/a,Estancado,Muy mala,Un poco peor,Mucho mejor,Se puede confiar en la mayoría,Prefiere democracia,Bastante satisfecho/a,Nada satisfecho/a,1.0,10.0,Muy justa,,Fraudulentas,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,5.0,Media,Nada suficiente,Mestizo/a,13.0,Jubilado/a o pensionado/a
32.0,Hombre,76.0,Bastante satisfecho/a,Estancado,Mala,Igual,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,1.0,5.0,Injusta,10.0,Limpias,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Beneficia,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,5.0,Media,Poco suficiente,Blanco/a,13.0,Jubilado/a o pensionado/a
32.0,Hombre,47.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Se puede confiar en la mayoría,Prefiere democracia,Poco satisfecho/a,Poco satisfecho/a,2.0,5.0,Muy injusta,5.0,Limpias,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó poco,Aumentó mucho,Aumentó poco,,Media baja,Poco suficiente,Mestizo/a,14.0,Independiente/cuenta propia
32.0,Mujer,73.0,Poco satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Nada satisfecho/a,Nada satisfecho/a,2.0,,Injusta,5.0,Limpias,De acuerdo,De acuerdo,,En desacuerdo,De acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Media,Poco suficiente,Indígena,7.0,Jubilado/a o pensionado/a
32.0,Mujer,18.0,Bastante satisfecho/a,Estancado,Mala,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,1.0,5.0,Injusta,,Limpias,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Igual,Igual,7.0,Media baja,Muy suficiente,Mestizo/a,14.0,Estudiante
32.0,Hombre,43.0,Muy satisfecho/a,Progresando,Regular,Igual,,Nunca se es suficientemente cuidadoso,Le da lo mismo,Poco satisfecho/a,Poco satisfecho/a,1.0,,Justa,5.0,Fraudulentas,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Beneficia,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Igual,Igual,Igual,10.0,Media,Algo suficiente,Indígena,13.0,Independiente/cuenta propia
32.0,Mujer,34.0,Nada satisfecho/a,En retroceso,Muy mala,Mucho peor,,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Nada satisfecho/a,2.0,0.0,Muy injusta,5.0,Limpias,Muy de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Beneficia,Sí,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Media baja,Nada suficiente,Mestizo/a,13.0,Temporalmente no trabaja
32.0,Hombre,37.0,Muy satisfecho/a,Estancado,Regular,Un poco mejor,Mucho mejor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Poco satisfecho/a,Poco satisfecho/a,1.0,,Justa,,Limpias,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó poco,Igual,7.0,Media baja,Muy suficiente,Mestizo/a,12.0,Asalariado sector público
32.0,Mujer,38.0,Nada satisfecho/a,Estancado,Regular,Mucho peor,,Nunca se es suficientemente cuidadoso,Le da lo mismo,Poco satisfecho/a,Poco satisfecho/a,2.0,0.0,Injusta,4.0,Fraudulentas,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Beneficia,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Baja,Nada suficiente,Indígena,,Independiente/cuenta propia
