pais,sexo,edad,satisfaccion_vida,situacion_pais,economia_actual,economia_vs12m,economia_12m_futuro,confianza_interpersonal,preferencia_democracia,satisfaccion_democracia,satisfaccion_economia,aprueba_presidente,ideologia_izq_der,justicia_distributiva,nivel_democratico_pais,elecciones_limpias,inmigrantes_ayudan_economia,inmigrantes_compiten_trabajo,inmigrantes_aumentan_crimen,mercado_unico_desarrollo,justicia_no_dura_con_delito,impacto_inmigracion_pais,existe_cambio_climatico,me_importa_medioambiente,obligacion_proteger_medioambiente,importa_impacto_otros,proteger_para_futuras_gen,dispuesto_ahorrar_electricidad,dispuesto_cambiar_alimentacion,derecho_plantas_animales,delincuencia_ult12m,drogadiccion_ult12m,corrupcion_ult12m,corrupcion_0a10,clase_social,suficiencia_ingresos,raza_etnia,educacion_anios,situacion_ocupacional
170.0,Hombre,54.0,Bastante satisfecho/a,Estancado,Regular,Un poco mejor,Un poco peor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Poco satisfecho/a,Poco satisfecho/a,2.0,4.0,Muy injusta,5.0,Fraudulentas,En desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media alta,Muy suficiente,Mestizo/a,12.0,Jubilado/a o pensionado/a
170.0,Mujer,61.0,Poco satisfecho/a,Progresando,Regular,Un poco mejor,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Nada satisfecho/a,Poco satisfecho/a,1.0,5.0,Injusta,1.0,Fraudulentas,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media,Algo suficiente,Mestizo/a,15.0,Tareas del hogar
170.0,Hombre,18.0,Muy satisfecho/a,Estancado,Regular,Un poco mejor,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,1.0,7.0,Injusta,,Limpias,Muy en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Aumentó poco,Aumentó mucho,Aumentó mucho,5.0,Media,Muy suficiente,Mulato/a,12.0,Estudiante
170.0,Hombre,39.0,Poco satisfecho/a,Estancado,Regular,Mucho peor,Un poco peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Poco satisfecho/a,2.0,5.0,Muy injusta,10.0,Limpias,De acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo,Beneficia,Sí,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó poco,Aumentó poco,Igual,7.0,Media baja,Poco suficiente,Mestizo/a,17.0,Temporalmente no trabaja
170.0,Hombre,27.0,Bastante satisfecho/a,Estancado,Regular,Igual,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Poco satisfecho/a,1.0,,Justa,5.0,Fraudulentas,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Perjudica,Sí,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,5.0,Media,Algo suficiente,Mestizo/a,12.0,Temporalmente no trabaja
170.0,Mujer,60.0,Bastante satisfecho/a,Estancado,Regular,Un poco peor,Un poco peor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Nada satisfecho/a,Nada satisfecho/a,1.0,5.0,Injusta,2.0,Fraudulentas,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Media baja,Algo suficiente,Indígena,1.0,Independiente/cuenta propia
170.0,Hombre,30.0,Poco satisfecho/a,Estancado,Muy mala,Mucho peor,Un poco peor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Poco satisfecho/a,Poco satisfecho/a,2.0,5.0,Justa,5.0,Fraudulentas,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,6.0,Media,Muy suficiente,Mulato/a,17.0,Tareas del hogar
170.0,Hombre,26.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Un poco peor,Nunca se es suficientemente cuidadoso,,Nada satisfecho/a,Nada satisfecho/a,2.0,5.0,Injusta,5.0,Limpias,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media baja,Algo suficiente,Mestizo/a,12.0,Asalariado sector privado
170.0,Mujer,42.0,Muy satisfecho/a,Estancado,Buena,Igual,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Poco satisfecho/a,1.0,5.0,Injusta,5.0,Fraudulentas,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media,Algo suficiente,,17.0,Asalariado sector privado
170.0,Mujer,54.0,Muy satisfecho/a,Estancado,Regular,Igual,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Poco satisfecho/a,1.0,5.0,Injusta,6.0,Limpias,En desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,5.0,Media baja,Algo suficiente,Blanco/a,12.0,Independiente/cuenta propia
170.0,Mujer,59.0,Bastante satisfecho/a,Progresando,Regular,Un poco mejor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Poco satisfecho/a,1.0,6.0,Muy injusta,,Limpias,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Media baja,Poco suficiente,Negro/a,12.0,Jubilado/a o pensionado/a
170.0,Hombre,26.0,Bastante satisfecho/a,Estancado,Regular,Igual,Igual,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Poco satisfecho/a,Nada satisfecho/a,1.0,6.0,Injusta,5.0,Fraudulentas,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Perjudica,No,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó poco,6.0,Media alta,Poco suficiente,,12.0,Asalariado sector privado
170.0,Mujer,45.0,Muy satisfecho/a,En retroceso,Mala,Un poco peor,Un poco peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Poco satisfecho/a,2.0,4.0,Justa,3.0,Fraudulentas,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media,Algo suficiente,Blanco/a,12.0,Independiente/cuenta propia
170.0,Mujer,40.0,Muy satisfecho/a,En retroceso,Regular,Mucho mejor,Mucho mejor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Bastante satisfecho/a,Bastante satisfecho/a,2.0,5.0,Muy injusta,2.0,Fraudulentas,Muy de acuerdo,Muy de acuerdo,De acuerdo,,Muy de acuerdo,,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Baja,Poco suficiente,Mestizo/a,12.0,Independiente/cuenta propia
170.0,Hombre,67.0,Bastante satisfecho/a,En retroceso,Mala,Un poco peor,Mucho peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Nada satisfecho/a,Nada satisfecho/a,2.0,7.0,Muy injusta,,Fraudulentas,En desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,No,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Baja,Algo suficiente,Otra,10.0,Independiente/cuenta propia
170.0,Mujer,66.0,Muy satisfecho/a,En retroceso,Muy mala,Mucho peor,Igual,Se puede confiar en la mayoría,Autoritarismo puede ser preferible,Poco satisfecho/a,Nada satisfecho/a,2.0,,Injusta,4.0,Fraudulentas,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Perjudica,Sí,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media,Poco suficiente,Blanco/a,12.0,Independiente/cuenta propia
170.0,Mujer,19.0,Bastante satisfecho/a,En retroceso,Mala,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Poco satisfecho/a,2.0,5.0,Injusta,4.0,Fraudulentas,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Aumentó poco,Disminuyó poco,Aumentó poco,7.0,Media,Muy suficiente,Otra,17.0,Estudiante
170.0,Mujer,18.0,Bastante satisfecho/a,Progresando,Buena,Igual,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Bastante satisfecho/a,1.0,5.0,Injusta,,Fraudulentas,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó poco,Aumentó poco,Igual,6.0,Media,Algo suficiente,Blanco/a,12.0,Estudiante
170.0,Mujer,48.0,Muy satisfecho/a,En retroceso,Regular,Mucho peor,Mucho peor,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Nada satisfecho/a,Nada satisfecho/a,2.0,5.0,Injusta,,Fraudulentas,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Media,Algo suficiente,Otra,16.0,Independiente/cuenta propia
170.0,Mujer,35.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Nada satisfecho/a,Nada satisfecho/a,2.0,,Muy injusta,,Fraudulentas,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,7.0,Media,Muy suficiente,Otra,15.0,Asalariado sector privado
170.0,Hombre,23.0,Bastante satisfecho/a,Estancado,Regular,Un poco peor,Un poco peor,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Poco satisfecho/a,Poco satisfecho/a,2.0,6.0,Injusta,4.0,Fraudulentas,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,7.0,Media alta,Algo suficiente,Mestizo/a,12.0,Asalariado sector público
170.0,Hombre,41.0,Bastante satisfecho/a,Estancado,Muy mala,Un poco peor,Un poco peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Nada satisfecho/a,Nada satisfecho/a,2.0,7.0,Injusta,6.0,Fraudulentas,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,6.0,Media,Algo suficiente,Blanco/a,12.0,Independiente/cuenta propia
170.0,Hombre,38.0,Bastante satisfecho/a,Estancado,Mala,Un poco peor,Mucho peor,Nunca se es suficientemente cuidadoso,,Poco satisfecho/a,Poco satisfecho/a,2.0,10.0,Justa,7.0,Fraudulentas,Muy en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Perjudica,Sí,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media,Muy suficiente,Mestizo/a,12.0,Asalariado sector público
170.0,Mujer,20.0,Bastante satisfecho/a,Estancado,Regular,Un poco mejor,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Poco satisfecho/a,2.0,5.0,Injusta,7.0,Limpias,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Aumentó mucho,Disminuyó poco,Aumentó poco,,Media alta,Algo suficiente,,14.0,Estudiante
170.0,Mujer,60.0,Muy satisfecho/a,En retroceso,Regular,Mucho peor,Mucho peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Nada satisfecho/a,Nada satisfecho/a,2.0,5.0,Muy injusta,7.0,Fraudulentas,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Igual,,Media alta,Muy suficiente,,17.0,Independiente/cuenta propia
170.0,Hombre,71.0,Bastante satisfecho/a,En retroceso,Mala,Mucho peor,Mucho peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Nada satisfecho/a,2.0,,Injusta,7.0,Fraudulentas,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Perjudica,No,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media alta,Algo suficiente,Otra,14.0,Independiente/cuenta propia
170.0,Mujer,51.0,Muy satisfecho/a,Progresando,Buena,Un poco mejor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Poco satisfecho/a,1.0,5.0,Injusta,10.0,Fraudulentas,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,No,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Igual,Igual,Disminuyó mucho,10.0,Media baja,Algo suficiente,Mestizo/a,14.0,Independiente/cuenta propia
170.0,Mujer,46.0,Bastante satisfecho/a,En retroceso,Regular,Igual,Un poco peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Nada satisfecho/a,Poco satisfecho/a,2.0,5.0,Injusta,7.0,Fraudulentas,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media alta,Algo suficiente,Mestizo/a,17.0,Asalariado sector público
170.0,Mujer,42.0,Muy satisfecho/a,Estancado,Mala,Un poco peor,Mucho peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Nada satisfecho/a,2.0,5.0,Injusta,5.0,Limpias,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Beneficia,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,7.0,Media,Muy suficiente,Blanco/a,15.0,Independiente/cuenta propia
170.0,Hombre,22.0,Muy satisfecho/a,En retroceso,Regular,Igual,Igual,Se puede confiar en la mayoría,Autoritarismo puede ser preferible,Poco satisfecho/a,Poco satisfecho/a,2.0,5.0,Muy injusta,5.0,Fraudulentas,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media,Muy suficiente,Mestizo/a,15.0,Asalariado sector privado
170.0,Hombre,27.0,Bastante satisfecho/a,Progresando,Regular,Un poco mejor,Un poco mejor,Se puede confiar en la mayoría,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,1.0,5.0,Justa,6.0,Limpias,Muy en desacuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Ni beneficia ni perjudica,Sí,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,Muy de acuerdo,Igual,Aumentó mucho,Igual,5.0,Media alta,Algo suficiente,Mestizo/a,14.0,Estudiante
170.0,Hombre,41.0,Muy satisfecho/a,Estancado,Mala,Un poco peor,Un poco peor,Nunca se es suficientemente cuidadoso,,Nada satisfecho/a,Poco satisfecho/a,2.0,5.0,Injusta,4.0,Fraudulentas,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media,Muy suficiente,Otra,15.0,Independiente/cuenta propia
170.0,Mujer,41.0,Muy satisfecho/a,Estancado,Muy mala,Mucho peor,Igual,Nunca se es suficientemente cuidadoso,Le da lo mismo,Poco satisfecho/a,Nada satisfecho/a,2.0,0.0,Muy injusta,3.0,Fraudulentas,En desacuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,Perjudica,No,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Media,Nada suficiente,Blanco/a,6.0,Independiente/cuenta propia
170.0,Hombre,36.0,Poco satisfecho/a,Estancado,Regular,Un poco mejor,Igual,,Le da lo mismo,Nada satisfecho/a,Bastante satisfecho/a,1.0,0.0,Muy injusta,3.0,Fraudulentas,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,De acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó poco,Igual,Aumentó mucho,,Baja,Nada suficiente,Mestizo/a,14.0,Tareas del hogar
170.0,Hombre,28.0,Poco satisfecho/a,Estancado,Regular,Un poco peor,Igual,Se puede confiar en la mayoría,Prefiere democracia,Nada satisfecho/a,Nada satisfecho/a,1.0,3.0,Injusta,4.0,Fraudulentas,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Perjudica,Sí,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Igual,Igual,Aumentó poco,7.0,Media,Algo suficiente,Mestizo/a,14.0,Independiente/cuenta propia
170.0,Mujer,41.0,Bastante satisfecho/a,Estancado,Mala,Igual,Mucho peor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Nada satisfecho/a,Nada satisfecho/a,2.0,5.0,Muy injusta,5.0,Fraudulentas,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Baja,Algo suficiente,Mestizo/a,15.0,Asalariado sector privado
170.0,Mujer,24.0,Bastante satisfecho/a,Estancado,Buena,Igual,Mucho mejor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Bastante satisfecho/a,Bastante satisfecho/a,1.0,5.0,Injusta,,Fraudulentas,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Perjudica,No,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,6.0,Baja,Poco suficiente,Negro/a,16.0,Estudiante
170.0,Hombre,60.0,Bastante satisfecho/a,,Regular,Un poco peor,Un poco peor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Poco satisfecho/a,Nada satisfecho/a,2.0,,Injusta,5.0,Fraudulentas,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,No,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Media,Algo suficiente,Indígena,12.0,Asalariado sector público
170.0,Mujer,26.0,Muy satisfecho/a,Estancado,Mala,Igual,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Nada satisfecho/a,Nada satisfecho/a,1.0,4.0,Injusta,5.0,,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,6.0,Media,Algo suficiente,,14.0,Estudiante
170.0,Hombre,45.0,Muy satisfecho/a,En retroceso,Regular,Mucho peor,Igual,Nunca se es suficientemente cuidadoso,Le da lo mismo,Nada satisfecho/a,Nada satisfecho/a,2.0,5.0,Injusta,,Fraudulentas,En desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media,Algo suficiente,Mestizo/a,12.0,Temporalmente no trabaja
170.0,Hombre,29.0,Muy satisfecho/a,Estancado,Mala,Un poco peor,Un poco peor,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Nada satisfecho/a,Nada satisfecho/a,2.0,5.0,Injusta,6.0,,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,7.0,Media baja,Muy suficiente,Mestizo/a,10.0,Independiente/cuenta propia
170.0,Mujer,40.0,Muy satisfecho/a,Estancado,Regular,Un poco peor,Un poco peor,Nunca se es suficientemente cuidadoso,,Poco satisfecho/a,Nada satisfecho/a,2.0,,Muy injusta,10.0,Fraudulentas,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,Sí,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,6.0,Media,Algo suficiente,Mestizo/a,14.0,Independiente/cuenta propia
170.0,Hombre,58.0,Muy satisfecho/a,Estancado,Regular,Igual,Mucho peor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Nada satisfecho/a,Nada satisfecho/a,1.0,1.0,Muy injusta,1.0,Fraudulentas,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,1.0,Media,Algo suficiente,Mestizo/a,,Asalariado sector público
170.0,Mujer,34.0,Muy satisfecho/a,Estancado,Muy mala,Un poco peor,Mucho peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Nada satisfecho/a,2.0,3.0,Injusta,5.0,Fraudulentas,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Aumentó mucho,Igual,Igual,6.0,Media,Algo suficiente,Mestizo/a,12.0,Independiente/cuenta propia
170.0,Mujer,19.0,Bastante satisfecho/a,Estancado,Mala,Igual,Igual,Nunca se es suficientemente cuidadoso,Le da lo mismo,Poco satisfecho/a,Nada satisfecho/a,2.0,,Injusta,7.0,Fraudulentas,Muy en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,7.0,Media,Muy suficiente,Mestizo/a,12.0,Estudiante
170.0,Mujer,39.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Poco satisfecho/a,Nada satisfecho/a,2.0,,Muy injusta,5.0,Fraudulentas,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,4.0,Media baja,Poco suficiente,Blanco/a,12.0,Independiente/cuenta propia
