codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio
TQRMNOQYXHMMKOCDEFKID00880483,1,2,24,5,1.0,6,1,0,1477000.0,738500.0,491.0,878.0,3,0.0,0.0,0.0,1.0,8.0,,0,0,2025
TQRMNOTVUHMMKOCDEFKID00880484,1,2,22,1,1.0,4,1,0,1750000.0,875000.0,554.0,903.0,3,0.0,48.0,0.0,2.0,6.0,,0,0,2025
TQRMNOTVUHMMKOCDEFKID00880484,1,1,25,1,1.0,4,1,0,1750000.0,875000.0,554.0,903.0,3,0.0,45.0,0.0,2.0,8.0,,0,0,2025
TQRMNOPYSHJOKPCDEFKID00877468,1,2,40,3,4.0,3,3,4,260000.0,86666.67,948.0,889.0,0,,,,,,,0,0,2025
TQRMNOPYSHJOKPCDEFKID00877468,1,2,10,5,4.0,1,3,3,260000.0,86666.67,948.0,889.0,0,,,,,,,0,0,2025
TQRMNOPYSHJOKPCDEFKID00877468,1,1,6,5,4.0,1,4,3,260000.0,86666.67,948.0,889.0,0,,,,,,,0,0,2025
TQRMNORWWHJOKPCDEFKID00877469,1,2,34,5,4.0,4,1,0,240000.0,60000.0,993.0,1231.0,3,0.0,8.0,0.0,2.0,0.0,,0,0,2025
TQRMNORWWHJOKPCDEFKID00877469,1,2,16,5,4.0,3,3,3,240000.0,60000.0,993.0,1231.0,0,,,,,,,0,0,2025
TQRMNORWWHJOKPCDEFKID00877469,1,1,12,5,4.0,3,3,3,240000.0,60000.0,993.0,1231.0,0,,,,,,,0,0,2025
TQRMNORWWHJOKPCDEFKID00877469,1,2,7,5,4.0,1,4,3,240000.0,60000.0,993.0,1231.0,0,,,,,,,0,0,2025
TQRMNOQYSHLOKMCDEFKID00851883,1,2,53,3,1.0,4,1,0,2500000.0,833333.33,776.0,1126.0,3,0.0,40.0,0.0,2.0,5.0,,0,0,2025
TQRMNOQYSHLOKMCDEFKID00851883,1,1,26,5,1.0,4,1,0,2500000.0,833333.33,776.0,1126.0,3,0.0,54.0,0.0,2.0,11.0,,0,0,2025
TQRMNOQYSHLOKMCDEFKID00851883,1,1,18,5,1.0,5,3,3,2500000.0,833333.33,776.0,1126.0,0,,,,,,,0,0,2025
TQRMNOQYXHMMKOCDEFKID00880483,1,2,60,4,1.0,6,1,0,1477000.0,738500.0,491.0,878.0,2,0.0,6.0,0.0,2.0,1.0,,0,0,2025
TQRMNOQWSHLMKQCDEFMDB00852206,1,2,82,2,4.0,2,3,1,0.0,0.0,127.0,,0,,,,,,,0,0,2025
TQRMNOQWSHLMKQCDEFMDB00852206,1,1,81,2,4.0,1,3,1,0.0,0.0,127.0,,0,,,,,,,0,0,2025
TQRMNOSRQHMLKSCDEFMDB00880486,1,2,43,5,1.0,6,1,0,1300000.0,433333.33,315.0,381.0,3,2.0,24.0,12.0,2.0,2.0,,0,0,2025
TQRMNOSRQHMLKSCDEFMDB00880486,1,1,19,5,1.0,3,3,3,1300000.0,433333.33,315.0,381.0,0,,,,,,,0,0,2025
TQRMNOSRQHMLKSCDEFMDB00880486,1,2,18,5,1.0,5,3,3,1300000.0,433333.33,315.0,381.0,0,,,,,,,0,0,2025
TQRMNOSYYHJOKTCDEFMDB00877193,1,1,82,2,1.0,6,3,1,1985000.0,992500.0,132.0,158.0,0,,,,,,,0,0,2025
TQRMNOSYYHJOKTCDEFMDB00877193,1,2,71,2,1.0,5,3,4,1985000.0,992500.0,132.0,158.0,0,,,,,,,0,0,2025
TQRMNORTYHJNLRCDEFIAH00876908,1,1,34,2,1.0,4,1,0,2450000.0,2450000.0,938.0,1102.0,3,3.0,40.0,28.0,2.0,6.0,,0,0,2025
TQRMNOQTYHKMKQCDEFMDB00858318,1,1,73,2,1.0,3,3,1,634000.0,317000.0,118.0,161.0,0,,,,,,,0,0,2025
TQRMNOQTYHKMKQCDEFMDB00858318,1,2,68,2,1.0,6,3,4,634000.0,317000.0,118.0,161.0,0,,,,,,,0,0,2025
TQRMNOTRUHKMKQCDEFMDB00858234,1,1,42,1,1.0,6,1,0,0.0,0.0,184.0,,3,0.0,30.0,0.0,1.0,,,0,0,2025
TQRMNOTRUHKMKQCDEFMDB00858234,1,2,35,1,1.0,6,1,0,0.0,0.0,184.0,,3,0.0,35.0,0.0,1.0,,,0,0,2025
TQRMNOTRUHKMKQCDEFMDB00858234,1,1,11,5,1.0,3,3,3,0.0,0.0,184.0,,0,,,,,,,0,0,2025
TQRMNOTRUHKMKQCDEFMDB00858234,1,2,1,5,1.0,7,4,5,0.0,0.0,184.0,,0,,,,,,,0,0,2025
TQRMNOPWWHJMKOCDEFJAH00876718,1,1,43,5,4.0,3,1,0,0.0,0.0,419.0,,3,0.0,4.0,0.0,2.0,2.0,,0,0,2025
