codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing
TQSMNOQWQHLOLTCDEFKID00875921,1,2,5,5,4.0,7,4,5,330000.0,110000.0,930.0,1221.0,0,,,,,,,0,0
TQRMNOQUTHJMLSCDEFIAH00872709,1,1,61,3,1.0,4,1,0,0.0,0.0,982.0,,2,0.0,49.0,0.0,2.0,1.0,,0,0
TQRMNOQXSHLMLTCDEFIAH00872710,1,1,62,2,1.0,6,1,0,3200000.0,1600000.0,671.0,1151.0,3,0.0,45.0,0.0,1.0,12.0,,0,0
TQRMNOQXSHLMLTCDEFIAH00872710,1,2,63,2,1.0,6,1,0,3200000.0,1600000.0,671.0,1151.0,3,0.0,40.0,0.0,1.0,,,0,0
TQRMNOPQVHMOLTCDEFIAH00877883,1,1,41,2,4.0,3,1,0,0.0,0.0,1375.0,,3,0.0,48.0,0.0,2.0,3.0,,0,0
TQRMNOPQVHMOLTCDEFIAH00877883,1,2,47,2,4.0,3,3,4,0.0,0.0,1375.0,,0,,,,,,,0,0
TQRMNOPQVHMOLTCDEFIAH00877883,1,2,14,5,4.0,3,3,3,0.0,0.0,1375.0,,0,,,,,,,0,0
TQRMNOPQVHMOLTCDEFIAH00877883,1,2,12,5,4.0,3,3,3,0.0,0.0,1375.0,,0,,,,,,,0,0
TQRMNOPQVHMOLTCDEFIAH00877883,1,2,8,5,4.0,1,4,3,0.0,0.0,1375.0,,0,,,,,,,0,0
TQRMNORQWHMMKPCDEIOAH00877913,1,2,27,1,1.0,3,2,0,1555000.0,518333.33,129.0,128.0,3,,,,,,2.0,0,0
TQRMNORQWHMMKPCDEIOAH00877913,1,1,26,1,1.0,4,1,0,1555000.0,518333.33,129.0,128.0,3,0.0,54.0,0.0,2.0,11.0,,0,0
TQRMNORQWHMMKPCDEIOAH00877913,1,1,5,5,4.0,7,4,5,1555000.0,518333.33,129.0,128.0,0,,,,,,,0,0
TQRMNOQWQHLOKMCDEFMDB00852208,1,2,25,5,4.0,3,1,0,573000.0,191000.0,231.0,323.0,2,0.0,15.0,0.0,2.0,3.0,,0,0
TQRMNOQWQHLOKMCDEFMDB00852208,1,1,20,5,4.0,3,1,0,573000.0,191000.0,231.0,323.0,2,0.0,35.0,0.0,2.0,1.0,,0,0
TQRMNOQWQHLOKMCDEFMDB00852208,1,2,5,5,3.0,7,4,5,573000.0,191000.0,231.0,323.0,0,,,,,,,0,0
TQRMNOSQUHLLKNCDEFMDB00852057,1,2,31,5,1.0,6,1,0,1100000.0,1100000.0,186.0,212.0,3,0.0,40.0,0.0,3.0,5.0,,0,0
TQRMNOVQVHLNLSCDEFJAH00861741,1,1,43,5,4.0,3,1,0,600000.0,600000.0,476.0,637.0,2,0.0,30.0,0.0,2.0,1.0,,0,0
TQRMNOPQVHKNLTCDEFJAH00865089,1,1,59,2,1.0,4,1,0,0.0,0.0,284.0,,3,0.0,40.0,0.0,2.0,,,0,0
TQRMNOPQVHKNLTCDEFJAH00865089,1,2,53,2,1.0,4,1,0,0.0,0.0,284.0,,3,6.0,18.0,24.0,2.0,0.0,,0,0
TQRMNOPQVHKNLTCDEFJAH00865089,1,1,21,5,1.0,4,1,0,0.0,0.0,284.0,,3,0.0,24.0,0.0,2.0,,,0,0
TQRMNOQRWHMNKOCDEIMBF00877915,1,1,60,5,4.0,1,3,4,250000.0,250000.0,118.0,121.0,0,,,,,,,0,0
TQRMNORVUHMNKOCDEIMBF00877916,1,1,34,2,1.0,4,1,0,1910000.0,318333.33,96.0,113.0,3,0.0,44.0,0.0,2.0,,,0,0
TQRMNORVUHMNKOCDEIMBF00877916,1,1,81,4,1.0,1,3,4,1910000.0,318333.33,96.0,113.0,0,,,,,,,0,0
TQRMNORVUHMNKOCDEIMBF00877916,1,2,32,2,1.0,4,1,0,1910000.0,318333.33,96.0,113.0,3,0.0,16.0,0.0,2.0,0.0,,0,0
TQRMNOSTRHJMLRCDEFKID00875910,1,1,16,5,2.0,3,3,3,0.0,0.0,656.0,,0,,,,,,,0,0
TQRMNOSTRHJMLRCDEFKID00875910,1,2,30,1,1.0,4,2,0,0.0,0.0,656.0,,0,,,,,,5.0,0,0
TQRMNOSTRHJMLRCDEFKID00875910,1,1,7,5,1.0,1,4,3,0.0,0.0,656.0,,0,,,,,,,0,0
